ros_timestamp_ns,system_timestamp_ns,openarm_right_joint1,openarm_right_joint3,openarm_right_joint4,openarm_left_joint6,openarm_left_joint5,openarm_left_joint2,openarm_left_joint7,openarm_left_joint4,openarm_right_joint5,openarm_left_joint1,openarm_right_joint2,openarm_left_joint3,openarm_right_joint7,openarm_right_joint6
1778210883333588121,1778210883342178992,0.10090028229190473,0.05512321660181563,0.2073319600213619,-0.15087357900358533,0.11005569542992255,-0.004386968795300206,0.22487983520256272,0.2946898603799486,0.09441519798580877,0.13523308155947156,0.06923781185625977,-0.1665140764476991,-0.0791561760891124,-0.04100862134737149
1778210883354582806,1778210883362079006,0.1035706111238266,0.05512321660181563,0.2073319600213619,-0.15163653009842015,0.11387045090409664,-0.00705729762722207,0.22678721293964976,0.29316395819027896,0.09441519798580877,0.1413366903181501,0.06923781185625977,-0.1623178454261076,-0.0749599450675209,-0.04062714579995408
1778210883374503888,1778210883382118733,0.10700389105058328,0.05512321660181563,0.2073319600213619,-0.15468833447775943,0.11692225528343592,-0.008201724269474298,0.22907606622415422,0.29201953154802673,0.09517814908064359,0.14782177462424606,0.06885633630884236,-0.15850308995193352,-0.07267109178301645,-0.03910124361028444
1778210883395096201,1778210883402157875,0.11043717097733996,0.05512321660181563,0.2073319600213619,-0.1577401388570987,0.11768520637827073,-0.010490577553978753,0.23174639505607608,0.2904936293583571,0.09670405127031323,0.15468833447775943,0.06885633630884236,-0.15430685893034202,-0.07343404287785127,-0.037956816968032214
1778210883416416785,1778210883422118489,0.11272602426184442,0.05512321660181563,0.20504310673685744,-0.15964751659418575,0.11997405966277519,-0.012779430838483208,0.2321278706034935,0.28896772716868746,0.09708552681773064,0.16002899214160315,0.06923781185625977,-0.15011062790875052,-0.07343404287785127,-0.037575341420614805
1778210883436764784,1778210883442108499,0.11539635309376628,0.05550469214923304,0.20199130235751817,-0.1615548943312728,0.12111848630502742,-0.013160906385900617,0.23517967498283276,0.2859159227893482,0.09746700236514805,0.16460669871061206,0.06923781185625977,-0.14591439688715901,-0.07152666514076422,-0.037575341420614805
1778210883456718595,1778210883462134914,0.11654077973601851,0.056649118791485265,0.20046540016784853,-0.1623178454261076,0.12417029068436669,-0.014305333028152845,0.236324101625085,0.2817196917677567,0.09746700236514805,0.16803997863736875,0.06923781185625977,-0.1409552147707327,-0.0707637140459294,-0.037193865873197396
1778210883476789570,1778210883482252604,0.11692225528343592,0.05855649652857231,0.20084687571526594,-0.1623178454261076,0.12607766842145374,-0.014305333028152845,0.23823147936217204,0.278286411841,0.09746700236514805,0.1707103074692906,0.06923781185625977,-0.13599603265430638,-0.07000076295109459,-0.03681239032577999
1778210883482534588,1778210883502225550,0.11692225528343592,0.06008239871824195,0.20084687571526594,-0.16269932097352502,0.12722209506370596,-0.014305333028152845,0.23823147936217204,0.2779049362935826,0.09746700236514805,0.17147325856412543,0.06923781185625977,-0.13485160601205415,-0.06961928740367718,-0.03681239032577999
1778210883521462169,1778210883522119190,0.11654077973601851,0.06542305638208568,0.20046540016784853,-0.16384374761577725,0.13599603265430638,-0.014305333028152845,0.2450980392156854,0.2729457541771563,0.09784847791256546,0.1745250629434647,0.06961928740367718,-0.12722209506370596,-0.0665674830243379,-0.032997634851605895
1778210883532536925,1778210883542102003,0.11654077973601851,0.06694895857175531,0.20046540016784853,-0.16536964980544688,0.13790341039139342,-0.014305333028152845,0.24738689250018986,0.2706569008926518,0.09861142900740028,0.1745250629434647,0.06961928740367718,-0.12493324177920151,-0.06580453192950309,-0.03185320820935367
1778210883554310704,1778210883562193758,0.11654077973601851,0.06885633630884236,0.20046540016784853,-0.1661326009002817,0.1413366903181501,-0.014305333028152845,0.24700541695277245,0.26798657206072996,0.10128175783932214,0.1745250629434647,0.070382238498512,-0.1203555352101926,-0.06504158083466827,-0.03032730601968403
